,Equity,Drawdown
2026-04-21,116248.77274871056,-0.05679524538064966
2026-04-22,116803.88999735596,-0.052291204469823244
2026-04-23,117307.82617626613,-0.04820243012206954
2026-04-24,118738.89778955438,-0.036591180231526195
2026-04-27,120431.34053207809,-0.022859249958850858
2026-04-28,120505.6997257655,-0.022255923632238876
2026-04-29,120928.08279054903,-0.018828844743107677
2026-04-30,121737.86192836953,-0.012258560043114352
2026-05-06,121029.4377240832,-0.01800648375853019
2026-05-07,123141.11464403561,-0.0008730236451531719
2026-05-08,141333.49957887764,0.0
2026-05-11,140470.81127442437,-0.0061039195026216025
2026-05-12,141074.3334502721,-0.0018337204511157414
2026-05-13,140019.99578307348,-0.00929364800077779
2026-05-14,137415.65503336504,-0.027720565592632713
2026-05-15,120557.03610253925,-0.14700310639901149
2026-05-18,118966.07966205353,-0.15825986042566612
2026-05-19,118984.02627671926,-0.1581328798108847
2026-05-20,117388.02627671926,-0.1694253193581647
2026-05-21,116004.02627671926,-0.1792177606698411
2026-05-22,115695.02627671926,-0.1814040788528671
2026-05-25,114708.02627671926,-0.1883875612044745
2026-05-26,115966.73434154737,-0.1794816183913509
2026-05-27,116899.63452945497,-0.17288091727882415
2026-05-28,119496.53560163359,-0.15450663885285695
2026-05-29,118330.08373913773,-0.16275982628521699
2026-06-01,118927.85913429635,-0.15853028837000388
2026-06-02,117685.74016652803,-0.16731885563444845
2026-06-03,115618.74016652803,-0.18194383843158365
2026-06-04,113850.74016652803,-0.1944532576794477
2026-06-05,115486.74016652803,-0.18287779959714814
2026-06-08,117806.74016652803,-0.16646272456601433
2026-06-09,119071.74496652803,-0.15751222943379692
2026-06-10,121189.74496652803,-0.14252639800451178
2026-06-11,123489.74496652803,-0.1262528322408877
2026-06-12,124781.74496652803,-0.11711133355975628
2026-06-15,124546.74496652803,-0.11877406745299614
2026-06-16,126118.09896652802,-0.10765600977606848
2026-06-17,126139.09896652802,-0.10750742504518322
2026-06-18,126259.09896652802,-0.10665836944012456
2026-06-22,125229.09896652802,-0.11394609671687796
2026-06-23,126431.09896652802,-0.10544138973954051
2026-06-24,124142.07056652804,-0.12163732634919393
2026-06-25,126798.07056652804,-0.10284489562389587
2026-06-26,126612.07056652804,-0.10416093181173677
2026-06-29,128320.07056652804,-0.09207604036640203
2026-06-30,127134.07056652804,-0.10046753992973166
