,Equity,Drawdown
2025-08-12,92997.39155822745,-0.11264944027910101
2025-08-13,92772.865075971,-0.11479179821370696
2025-08-14,92772.865075971,-0.11479179821370696
2025-08-15,92772.865075971,-0.11479179821370696
2025-08-18,92772.865075971,-0.11479179821370696
2025-08-19,92772.865075971,-0.11479179821370696
2025-08-20,92772.865075971,-0.11479179821370696
2025-08-21,92772.865075971,-0.11479179821370696
2025-08-22,92509.64552870764,-0.11730335266356895
2025-08-25,91349.80515054832,-0.12837016853336872
2025-08-26,93305.75241731634,-0.10970716226115011
2025-08-27,90200.29167178825,-0.13933844852158547
2025-08-28,90429.5161276293,-0.13715126406636433
2025-08-29,90653.60139559681,-0.13501311605356028
2025-09-01,93891.05823125537,-0.10412236646307109
2025-09-02,92090.07472426628,-0.12130675944654827
2025-09-03,88635.7168473192,-0.15426710751895725
2025-09-04,88831.93670134549,-0.15239484213192683
2025-09-05,89245.81860311997,-0.14844571698933626
2025-09-08,90479.39533072813,-0.13667533309618785
2025-09-09,89641.32630960809,-0.14467191238207025
2025-09-10,88957.32630960809,-0.1511984156815641
2025-09-11,88801.96627236267,-0.15268081011970994
2025-09-12,88801.96627236267,-0.15268081011970994
2025-09-15,88801.96627236267,-0.15268081011970994
2025-09-16,88801.96627236267,-0.15268081011970994
2025-09-17,88801.96627236267,-0.15268081011970994
2025-09-18,88801.96627236267,-0.15268081011970994
2025-09-19,88801.96627236267,-0.15268081011970994
2025-09-22,87750.64292116261,-0.16271219216713997
2025-09-23,88481.6597537418,-0.1557370696966522
2025-09-24,88883.60642291827,-0.15190182662267443
2025-09-25,88883.60642291827,-0.15190182662267443
2025-09-26,89589.36728830978,-0.14516768829426605
2025-09-29,88725.36728830978,-0.15341169246204778
2025-09-30,88594.61528830978,-0.15465928509277202
2025-10-09,88594.61528830978,-0.15465928509277202
2025-10-10,88594.61528830978,-0.15465928509277202
2025-10-13,88594.61528830978,-0.15465928509277202
2025-10-14,88594.61528830978,-0.15465928509277202
2025-10-15,88594.61528830978,-0.15465928509277202
2025-10-16,88594.61528830978,-0.15465928509277202
2025-10-17,88594.61528830978,-0.15465928509277202
2025-10-20,88594.61528830978,-0.15465928509277202
2025-10-21,88594.61528830978,-0.15465928509277202
2025-10-22,88594.61528830978,-0.15465928509277202
2025-10-23,88415.54672500212,-0.15636789849812743
2025-10-24,87557.54672500212,-0.16455465263696623
2025-10-27,87355.05872500212,-0.16648672661373218
2025-10-28,87355.05872500212,-0.16648672661373218
2025-10-29,87355.05872500212,-0.16648672661373218
2025-10-30,87355.05872500212,-0.16648672661373218
2025-10-31,87355.05872500212,-0.16648672661373218
2025-11-03,86410.06727684972,-0.17550352457332302
2025-11-04,85645.7409381876,-0.18279647540836447
2025-11-05,85326.2342969894,-0.18584510281770705
2025-11-06,85326.2342969894,-0.18584510281770705
2025-11-07,84711.43429698939,-0.19171132245005917
2025-11-10,84591.43429698939,-0.19285632302891775
2025-11-11,84537.1022969894,-0.1933747411243389
2025-11-12,84537.1022969894,-0.1933747411243389
2025-11-13,84579.33771831384,-0.19297174460879873
2025-11-14,84317.92060702138,-0.19546610080674368
2025-11-17,84423.3404008573,-0.1944602197653664
2025-11-18,84423.3404008573,-0.1944602197653664
2025-11-19,84423.3404008573,-0.1944602197653664
2025-11-20,84578.62076516864,-0.19297858554018424
2025-11-21,83010.62076516864,-0.2079399264372696
