,daily_ret,equity
2025-06-03,0.010629855149684276,1.0106298551496842
2025-06-04,0.013280556279977134,1.0240515818192246
2025-06-05,0.052305541241080854,1.0776151540650643
2025-06-06,-0.02655451080658758,1.048999610811101
2025-06-09,-0.009798657622623727,1.0387208227784974
2025-06-10,0.02636406529487563,1.0661057263733766
2025-06-11,-0.04932552014033948,1.0135195068954153
2025-06-12,-0.012069622720469918,1.001286708827351
2025-06-13,-0.007300793933599134,0.9939765208977507
2025-06-16,0.0018686491063251627,0.9958339142352344
2025-06-17,0.00199320333907721,0.9978188137182544
2025-06-18,0.012701256513664584,1.0104923664254506
2025-06-19,0.03365951523355733,1.0445050496265413
2025-06-20,0.011105792074544176,1.0561051055285051
2025-06-23,0.026404130745177747,1.0839906428155295
2025-06-24,0.006324192348578818,1.0908460081447544
2025-06-25,-0.028327922698656412,1.0599446067498919
2025-06-26,0.01960751302492723,1.0807274844324417
2025-06-27,-0.008884564030005048,1.0711256918980154
2025-06-30,0.014568365013572074,1.0867302419530007
2025-07-01,0.053557709323598865,1.1449330243646838
2025-07-02,0.009184666025438918,1.155448851814969
2025-07-03,-0.0012625067857258768,1.1539900897989934
2025-07-04,-0.014146402485424002,1.1376652815245063
2025-07-07,0.017483469625269813,1.1575556179177642
2025-07-08,-0.00010623544213957722,1.1574326444848935
2025-07-09,0.006063224650677403,1.1644504186264328
2025-07-10,0.018807916493644286,1.186351304860948
2025-07-11,0.01399328429235316,1.2029522559404713
2025-07-14,0.025231435468718526,1.2333044681581826
2025-07-15,0.015547619846065844,1.2524794171835605
2025-07-16,0.008936920553681872,1.2636727262300516
2025-07-17,0.03194007667466687,1.3040345299975247
2025-07-18,0.00542536701784865,1.3111093959267088
2025-07-21,0.00947635568259141,1.323533934901298
2025-07-22,-0.005638445032337722,1.3160712615609234
2025-07-23,-0.020530107126444683,1.2890521775750425
2025-07-24,0.04035447994822725,1.3410712078272131
2025-07-25,-0.022180663442746995,1.3113253587136393
2025-07-28,-0.019030813975659942,1.2863697697503944
2025-07-29,-0.009227488208591116,1.2744998078681347
2025-07-30,0.003767221401088043,1.279301130820018
2025-07-31,0.02775444486276876,1.3148074235182399
2025-08-01,-0.02627869108402388,1.2802560054006227
2025-08-04,0.012053044645472667,1.295686988191351
2025-08-05,0.032315176561808136,1.337557341983592
2025-08-06,0.014928530901672891,1.3575251080961535
2025-08-07,0.006773332503898635,1.3667200770356795
2025-08-08,0.01851229841664227,1.3920212069537805
2025-08-11,-0.0007785929061728458,1.390937389116804
2025-08-12,-0.007286951992849187,1.3808016951372508
2025-08-13,-0.03577482545518447,1.3314037555054927
2025-08-14,-0.011415958186196205,1.3162045059036973
2025-08-15,-0.01192508130860058,1.3005086601520492
2025-08-18,0.0185241685566955,1.324599501782148
2025-08-19,0.05218718897238779,1.3937266262943835
2025-08-20,0.03351998081743592,1.440444316072521
2025-08-21,-0.021915904390922135,1.4088756761610284
2025-08-22,-0.02421448026497008,1.3747604839048309
2025-08-25,0.023130300935270853,1.406559107611468
2025-08-26,-0.025028308378157334,1.3713553125140625
2025-08-27,-0.03398029312674082,1.3247562570139215
2025-08-28,0.006284161120112288,1.3330812387778739
2025-08-29,0.01622687504571606,1.3547129814653107
2025-09-01,-0.008228689346374938,1.3435654691873313
2025-09-02,0.005517529390566257,1.3509786311517225
2025-09-03,0.0067481889055998525,1.360095290162163
2025-09-04,-0.01639010666359123,1.3378031832837571
2025-09-05,0.041758867932046036,1.3936683297335744
2025-09-08,-0.008819859008904361,1.381376371560149
2025-09-09,0.009645508457761933,1.3947004490353851
2025-09-10,-0.0030629039710765673,1.3904286154915724
2025-09-11,-0.020427144188444452,1.3620261296791867
2025-09-12,-0.00395691185747815,1.356636712336464
2025-09-15,0.028924042943506756,1.3958761308628216
2025-09-16,0.0013513335336415755,1.3977624250872662
2025-09-17,-0.014553845679997832,1.3774196064552466
2025-09-18,0.0013550666533572423,1.3792861018316347
2025-09-19,-0.014672506799954408,1.3590485171234274
2025-09-22,-0.02278742238191201,1.3280793045262247
2025-09-23,0.030738536282164296,1.3689025184139958
2025-09-24,-0.01311499478775283,1.3509493690200545
2025-09-25,0.027506970207851523,1.3881098930660047
2025-09-26,-0.009961014948951095,1.3742829096703875
2025-09-29,-0.015221720711474405,1.3533639590408324
2025-09-30,-0.009760307620550378,1.340154710478028
2025-10-09,0.02599130659534804,1.3749870824432624
2025-10-10,-0.013346114255366368,1.3566363477413217
2025-10-13,0.023037119304508063,1.3878893411370705
2025-10-14,0.0046409141356827735,1.3943304163991168
2025-10-15,-0.0006992767746688312,1.3933553935227145
2025-10-16,0.018156739545211277,1.418654184496822
2025-10-17,0.031249459076110757,1.4629863603784086
2025-10-20,0.020218127978210865,1.492565205842916
2025-10-21,0.007028463740349581,1.5030556462722902
2025-10-22,0.04798626713367825,1.5751816760310955
2025-10-23,0.01290525527539257,1.5955097976653974
2025-10-24,-0.01859124901854655,1.565847277705469
2025-10-27,0.03713875056542531,1.6240008891757227
2025-10-28,-0.005247142776550649,1.6154795246409723
2025-10-29,0.037171040792116236,1.6755285799502304
2025-10-30,-0.0015272275794765405,1.6729696664927292
2025-10-31,-0.016120722028511957,1.6460001875370673
2025-11-03,-0.023328678287341895,1.6076011787011106
2025-11-04,-0.004308229005450522,1.6006752646738343
2025-11-05,0.03610589921482853,1.6584690844558165
2025-11-06,0.02043586113608592,1.6923613283642474
2025-11-07,-0.016446711608773975,1.664527549658799
2025-11-10,-0.008391494232529826,1.6505596763259502
2025-11-11,0.008631642223544768,1.6648067169206058
2025-11-12,-0.027560396632937644,1.6189239834850953
2025-11-13,-0.0038618002190228366,1.612672022491091
2025-11-14,-0.007707969434775728,1.600241595833412
2025-11-17,0.048089446508455154,1.6771963284568476
2025-11-18,-0.00997685952897822,1.6604631762853157
2025-11-19,-0.009530668096091276,1.6446378528663588
2025-11-20,0.007841788698977049,1.657534755394876
2025-11-21,0.034571565778490916,1.7148383272211447
2025-11-24,0.0065973374462595,1.726151694331602
2025-11-25,0.007750351686194593,1.7395299770263926
2025-11-26,0.019934769629235606,1.7742071063815632
