,daily_ret,equity
2025-06-03,0.023528354500486993,1.023528354500487
2025-06-04,0.01774792234949142,1.0416938562586644
2025-06-05,0.016795166251855013,1.0591892777580647
2025-06-06,-0.01539151515825624,1.042886749933989
2025-06-09,-0.009361228361749251,1.0331240489124145
2025-06-10,0.06908874351648929,1.1045012913484413
2025-06-11,-0.01319056574028685,1.0899322944546779
2025-06-12,0.025116685382710502,1.1173077809829517
2025-06-13,0.0014793107631399438,1.1189606264090997
2025-06-16,0.02317949230240004,1.1448975656356382
2025-06-17,-0.006096264493499768,1.1379179672575592
2025-06-18,0.047946151554627704,1.1924767545724242
2025-06-19,0.03126260741647299,1.2297566872038916
2025-06-20,-0.036072655169455195,1.1853960982840541
2025-06-23,-0.0034006277476078843,1.1813650074203232
2025-06-24,0.003781107061044944,1.1858318749915517
2025-06-25,-0.03415792497784078,1.1453263187692582
2025-06-26,-0.01302130782502877,1.1304126722124566
2025-06-27,-0.007169089865967724,1.1223086421797368
2025-06-30,0.04631399152060817,1.1742872351171543
2025-07-01,-0.0008440849469192194,1.1732960369386325
2025-07-02,0.018139402367632628,1.1945789258490112
2025-07-03,0.015985591266183385,1.21367497629283
2025-07-04,0.023796116467276952,1.2425557273821137
2025-07-07,0.009028966389775541,1.25377472128207
2025-07-08,-0.020426777226462887,1.2281641443582705
2025-07-09,0.03501717026123395,1.2711709773100066
2025-07-10,-0.009223300907315199,1.2594465848816305
2025-07-11,0.028133842221017648,1.2948796563864897
2025-07-14,0.04233620522151896,1.3496999472564382
2025-07-15,0.04884990613232603,1.4156326629867204
2025-07-16,0.014016149178614747,1.435474381573262
2025-07-17,0.021072179558087427,1.4657229554928084
2025-07-18,0.01950845345511818,1.494316943548138
2025-07-21,0.025486483468057278,1.5324018276259155
2025-07-22,-0.012454380791501372,1.5133167117390696
2025-07-23,-0.011955411265408642,1.495224388075413
2025-07-24,0.03555791736229148,1.5483914533046814
2025-07-25,-0.011232534892927547,1.5309990922775258
2025-07-28,0.014911292668715628,1.553828267818014
2025-07-29,0.007764528889353076,1.5658930122925805
2025-07-30,-0.006829801916076659,1.5551982731968537
2025-07-31,0.017520285502423686,1.582445790956139
2025-08-01,0.005503980683821233,1.5911555420227559
2025-08-04,0.04234384442031858,1.6585311847426951
2025-08-05,-0.0010164308115077714,1.6568454025446762
2025-08-06,0.027026902835060564,1.7016248022519678
2025-08-07,0.00281233251158645,1.706410337005863
2025-08-08,0.003004626534664958,1.7115374627834574
2025-08-11,-0.013278935039167671,1.688810067998054
2025-08-12,-0.034901680269535676,1.629867758968813
2025-08-13,-0.013806558598104222,1.6073648942474494
2025-08-14,0.018034154346052756,1.6363523608407347
2025-08-15,-0.03478356028565536,1.5794341998488566
2025-08-18,0.01746799052819347,1.607023741491721
2025-08-19,-0.0056409409107380315,1.597958615523813
2025-08-20,0.03768600745486721,1.6581792958210129
2025-08-21,-0.04171549340952818,1.5890075283343754
2025-08-22,-0.01903978263539777,1.5587531703888784
2025-08-25,0.008554956195234522,1.5720882354807382
2025-08-26,-0.011324383511434142,1.5542853053883405
2025-08-27,-0.03954892861972125,1.4928149867908553
2025-08-28,0.05250955054169799,1.5712020307891539
2025-08-29,0.009139655128086902,1.5855622754871166
2025-09-01,0.04688843160299357,1.6599068037935811
2025-09-02,0.025446659557250277,1.7021458871264799
2025-09-03,0.06841157385345936,1.8185923661929952
2025-09-04,0.011637014818079494,1.8397553525064294
2025-09-05,0.030249426513750677,1.8954068968453521
2025-09-08,0.0034041140215076452,1.9018590780393658
2025-09-09,0.014391892662253762,1.929230429749241
2025-09-10,-0.016095789445895868,1.8981779429593821
2025-09-11,-0.0038836595635722703,1.890806066037846
2025-09-12,-0.0186124261166268,1.8556135778328469
2025-09-15,0.007747210665073404,1.8699894071332883
2025-09-16,-0.02512017578550526,1.8230149445090673
2025-09-17,-0.017926576274345626,1.7903345280570537
2025-09-18,0.035462462814851485,1.8538241996844216
2025-09-19,-0.055025206470289814,1.7518171403371665
2025-09-22,-0.018850270602121452,1.7187949131963765
2025-09-23,0.056469668742864625,1.8158546925814965
2025-09-24,-0.019467427695119475,1.7805046726488227
2025-09-25,-0.008958443220815779,1.7645541226345012
2025-09-26,-0.01516518436015114,1.7377943340512843
2025-09-29,-0.0039252505709217326,1.730973055849405
2025-09-30,0.004641229451789366,1.7390068989764673
2025-10-09,0.008128410095753335,1.7531422602106923
2025-10-10,-0.03319023782704522,1.6949550516496559
2025-10-13,0.009807466082909035,1.7115782658307652
2025-10-14,0.026686528412829917,1.7572543478526401
2025-10-15,-0.041449379093440646,1.6844172462248994
2025-10-16,0.014277159618607961,1.7084659401135884
2025-10-17,0.028090093172002662,1.7564569075525724
2025-10-20,0.025932161984723312,1.8020056325984117
2025-10-21,0.002700679533132946,1.8068722723289607
2025-10-22,0.03977520894741166,1.8787409945021298
2025-10-23,0.010988913938132807,1.8993863176027557
2025-10-24,-0.02805965727383279,1.846090188500215
2025-10-27,0.0247806391623255,1.8918374833225484
2025-10-28,0.0026590759626089833,1.8968680228996142
2025-10-29,-0.011169967468099503,1.8756800687925472
2025-10-30,0.004504353153168896,1.884128794224749
2025-10-31,0.007152468974544604,1.8976049669694877
2025-11-03,0.011618211313742025,1.9196517424657455
2025-11-04,-0.025133648352525715,1.8714038906112982
2025-11-05,-0.02275741150570065,1.8288155821792877
2025-11-06,-0.03548478721446575,1.7639204503911563
2025-11-07,0.013222601385312008,1.7872440673820786
2025-11-10,0.011041264023701348,1.8069775010048381
2025-11-11,-0.047339735428298446,1.7214356641823811
2025-11-12,-0.025080799767552175,1.6782606809762997
2025-11-13,0.025812390956259826,1.7215806018001787
2025-11-14,-0.020550851716127073,1.6862006541352226
2025-11-17,0.013067571512478914,1.708235201767523
2025-11-18,-0.01162352877222744,1.6883794807500465
2025-11-19,0.01747429099140553,1.717882715100591
2025-11-20,0.025884954848997936,1.762350031616844
2025-11-21,0.01964115809962953,1.7969646272147175
2025-11-24,-0.02164465030809657,1.7580699562426358
2025-11-25,-0.01160070653925813,1.7376751026047785
2025-11-26,0.019894768931164097,1.7722457472485376
2025-11-27,-0.015919276943905512,1.7440328763854294
2025-11-28,-0.011487665724422044,1.7239980096891112
