,Equity,Drawdown
2025-08-07,113751.24396642137,-0.0010280856328189945
2025-08-08,114547.26608519926,0.0
2025-08-11,115910.874626649,0.0
2025-08-12,115992.30959070339,0.0
2025-08-13,115295.73626729549,-0.006005340577024976
2025-08-14,112657.00538191819,-0.028754528817939093
2025-08-15,112641.63278633442,-0.028887059980030935
2025-08-18,113888.98020829131,-0.018133352028543936
2025-08-19,116267.00477087288,0.0
2025-08-20,116486.85098795412,0.0
2025-08-21,116912.23336583098,0.0
2025-08-22,115813.67627087468,-0.009396425535031852
2025-08-25,115365.14221975909,-0.0132329278257039
2025-08-26,116337.65644789262,-0.004914600477611706
2025-08-27,112521.75548303583,-0.03755362254569951
2025-08-28,111032.75372679636,-0.05028968714195281
2025-08-29,109929.39247116273,-0.05972720470421761
2025-09-01,111637.93625593823,-0.04511330386948394
2025-09-02,111013.14390922744,-0.05045741824249183
2025-09-03,108232.8371034879,-0.07423856351442983
2025-09-04,110367.94581498021,-0.05597607164318716
2025-09-05,111558.27616365893,-0.04579467048088067
2025-09-08,113455.7778529436,-0.029564532413573475
2025-09-09,113550.58947264962,-0.028753568351246997
2025-09-10,113726.20602508287,-0.02725144537080813
2025-09-11,113959.23774256061,-0.02525822609196189
2025-09-12,113421.23139906507,-0.02986002291002504
2025-09-15,113178.10452915406,-0.03193959031637368
2025-09-16,114323.26946003837,-0.02214450816016373
2025-09-17,114169.10634560928,-0.02346313077125264
2025-09-18,113228.10634560928,-0.03151190353787587
2025-09-19,113229.10634560928,-0.03150335011304418
2025-09-22,113846.10634560928,-0.02622588699188952
2025-09-23,114234.10634560928,-0.022907158157192586
2025-09-24,116527.61114560928,-0.0032898372492652568
2025-09-25,116053.61114560928,-0.007344160619487798
2025-09-26,116171.61114560928,-0.006334856489348009
2025-09-29,116367.61114560928,-0.0046583852223361566
2025-09-30,116944.61114560928,0.0
2025-10-09,116639.61114560928,-0.0026080722917641796
2025-10-10,116803.61114560928,-0.0012056989938975388
2025-10-13,116452.61114560928,-0.004207119893599922
2025-10-14,116742.61114560928,-0.0017273134522503746
2025-10-15,116790.61114560928,-0.001316862730923553
2025-10-16,116603.04396111664,-0.002920760359511994
2025-10-17,116385.84400927779,-0.004778049461687117
2025-10-20,117601.45086812263,0.0
2025-10-21,118957.81391820792,0.0
2025-10-22,120553.11935274742,0.0
2025-10-23,120725.50193757702,0.0
2025-10-24,121103.50193757702,0.0
2025-10-27,121105.50193757702,0.0
2025-10-28,121391.50193757702,0.0
2025-10-29,121471.50193757702,0.0
2025-10-30,121489.50193757702,0.0
2025-10-31,122019.50193757702,0.0
2025-11-03,122299.50193757702,0.0
2025-11-04,122429.50193757702,0.0
2025-11-05,122773.50193757702,0.0
2025-11-06,123065.28353757702,0.0
2025-11-07,123057.28353757702,-6.500614771311409e-05
2025-11-10,123283.28353757702,0.0
2025-11-11,123309.28353757702,0.0
2025-11-12,123241.28353757702,-0.0005514588849206785
2025-11-13,123501.28353757702,0.0
2025-11-14,123761.28353757702,0.0
2025-11-17,123619.28353757702,-0.0011473701301496703
2025-11-18,123703.28353757702,-0.00046864413766676676
2025-11-19,122863.28353757702,-0.0072559040624958025
2025-11-20,122647.49384504138,-0.008999500172422443
2025-11-21,120979.49384504138,-0.022477059166011528
2025-11-24,121335.49384504138,-0.01960055376929827
2025-11-25,121879.49384504138,-0.01520499496083756
2025-11-26,121419.49384504138,-0.018921827776815368
2025-11-27,122155.55726500634,-0.01297438283340964
2025-11-28,122659.55726500634,-0.008902026878512218
2025-12-01,122147.55726500634,-0.013039023404122297
2025-12-02,121919.55726500634,-0.014881279669433036
2025-12-03,121563.55726500634,-0.017757785066146295
2025-12-04,121383.29156962977,-0.01921434474477823
2025-12-05,121955.29156962977,-0.014592543938823218
2025-12-08,122251.29156962977,-0.012200842822454892
2025-12-09,121757.29156962977,-0.016192398063961493
2025-12-10,121364.29156962977,-0.01936786610022079
2025-12-11,120218.88589324182,-0.0286228256776251
2025-12-12,119422.39707934228,-0.03505851211471438
2025-12-15,120035.04036547992,-0.030108310657312523
2025-12-16,118717.7069692978,-0.04075245847581946
2025-12-17,118964.07373661376,-0.0387617974203274
2025-12-18,120880.70353075431,-0.023275291953061352
2025-12-19,122877.73532884357,-0.007139132558084578
